Altium Designer Pick and Place Locations
C:\Users\onurk\OneDrive\Belgeler\Altium\Projects\Ders1\Project Outputs for Ders1\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       03/09/22
Time:       13:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint         Center-X(mil) Center-Y(mil) Rotation Description                                                                                          
J3         TBP01R1-508-02BE              TopLayer    TBP01R1-508       2545.276      3498.032      180      "2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"                
J2         TBP01R1-508-02BE              TopLayer    TBP01R1-508       2031.496      3498.032      180      "2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"                
J1         TBP01R1-508-02BE              TopLayer    TBP01R1-508       246.063       3393.701      270      "2~24 Poles, Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector"                
X2         "CRYSTAL 16.0000MHZ 20PF SMD" TopLayer    ECS-160-20-30B    1785.433      1570.866      45       "Crystal 16MHz ±30ppm (Tol) ±50ppm (Stability) 20pF FUND 50Ohm 4-Pin Mini-SMD T/R"                   
U5         STM32F103C6T6A                TopLayer    LQFP-48           2127.953      1543.307      270      "MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"                         
C32        CL21B104KBCNNNC               TopLayer    CAP_0805          354.331       51.181        0        "CAP CER 0.1UF 50V X7R 0805"                                                                         
C5         EEV686M035A9HAA               TopLayer    CAP_EEVSERIES     940.945       1627.953      180      "Cap Aluminum Lytic 68uF 35V 20% (6.3 X 7.7mm) SMD 280mA 2000h 105C T/R"                             
D8         1N4148WS                      TopLayer    SOD32-F           795.276       1887.795      90       "VR=75V IF=150mA Trr=4ns P=200mW"                                                                    
D5         1N4148WS                      TopLayer    SOD32-F           1476.378      1248.032      90       "VR=75V IF=150mA Trr=4ns P=200mW"                                                                    
D3         1N4148WS                      TopLayer    SOD32-F           2358.268      307.087       180      "VR=75V IF=150mA Trr=4ns P=200mW"                                                                    
D2         1N4148WS                      TopLayer    SOD32-F           2574.803      2457.752      180      "VR=75V IF=150mA Trr=4ns P=200mW"                                                                    
D1         1N4148WS                      TopLayer    SOD32-F           1994.094      2459.567      0        "VR=75V IF=150mA Trr=4ns P=200mW"                                                                    
R1         5WD27                         TopLayer    RES_AXIAL_W       1108.268      3494.095      0        "Resistor 5 Watt Cermet Wirewound Flameproof .27 Ohm 5% Axial Lead"                                  
C21        CL21B105KBFNNNE               TopLayer    CAP_0805          2537.402      942.913       90       "CAP CER 1UF 50V X7R 0805"                                                                           
